equity,sf,level,target_units,rounded_units,error_pct
10000,2.5,2,284.09090909090907,284,-0.031999999999990904
10000,2.5,3,710.2272727272726,710,-0.03199999999998691
10000,2.5,4,1775.5681818181818,1776,0.024320000000003495
10000,2.5,5,4438.920454545454,4439,0.0017920000000111761
10000,2.5,6,11097.301136363636,11097,-0.00271359999999702
10000,2.5,7,27743.25284090909,27743,-0.0009113599999904633
10000,2.5,8,69358.13210227272,69358,-0.00019046399999046327
25000,1.5,0,113.63636363636363,114,0.3200000000000091
25000,1.5,1,170.45454545454544,170,-0.2666666666666576
25000,1.5,2,255.68181818181816,256,0.12444444444445356
25000,1.5,3,383.52272727272725,384,0.12444444444444985
25000,1.5,4,575.2840909090909,575,-0.04938271604937733
25000,1.5,5,862.9261363636363,863,0.008559670781904982
25000,1.5,6,1294.3892045454545,1294,-0.03006858710562095
25000,1.5,7,1941.5838068181818,1942,0.021435756744401912
25000,1.5,8,2912.3757102272725,2912,-0.01290047248894276
25000,2.0,0,113.63636363636363,114,0.3200000000000091
25000,2.0,1,227.27272727272725,227,-0.11999999999999092
25000,2.0,2,454.5454545454545,455,0.10000000000000911
25000,2.0,3,909.090909090909,909,-0.009999999999990905
25000,2.0,4,1818.181818181818,1818,-0.009999999999990905
25000,2.0,5,3636.363636363636,3636,-0.009999999999990905
25000,2.0,6,7272.727272727272,7273,0.0037500000000090955
25000,2.0,7,14545.454545454544,14545,-0.0031249999999909055
25000,2.0,8,29090.90909090909,29091,0.000312500000009095
25000,2.5,0,113.63636363636363,114,0.3200000000000091
25000,2.5,1,284.09090909090907,284,-0.031999999999990904
25000,2.5,2,710.2272727272726,710,-0.03199999999998691
25000,2.5,3,1775.5681818181818,1776,0.024320000000003495
25000,2.5,4,4438.920454545454,4439,0.0017920000000111761
25000,2.5,5,11097.301136363636,11097,-0.00271359999999702
25000,2.5,6,27743.25284090909,27743,-0.0009113599999904633
25000,2.5,7,69358.13210227272,69358,-0.00019046399999046327
25000,2.5,8,173395.3302556818,173395,-0.00019046399998626711
